movie_id,movie_rank,movie_title,movie_runtime,movie_year,movie_rating,movie_votes
tt7286456,1,Joker,2h 2mR,2019,8.4,"1,422,218"
tt4154796,2,Avengers: Endgame,3h 1mPG-13,2019,8.4,"1,227,564"
tt4154756,3,Avengers: Infinity War,2h 29mPG-13,2018,8.4,"1,167,536"
tt6751668,4,Parasite,2h 12mR,2019,8.5,"903,939"
tt1825683,5,Black Panther,2h 14mPG-13,2018,7.3,"820,837"
tt7131622,6,Once Upon a Time in Hollywood,2h 41mR,2019,7.6,"809,786"
tt8946378,7,Knives Out,2h 10mPG-13,2019,7.9,"747,547"
tt8579674,8,1917,1h 59mR,2019,8.2,"650,257"
tt4633694,9,Spider-Man: Into the Spider-Verse,1h 57mPG,2018,8.4,"641,118"
tt5463162,10, Deadpool 2,1h 59mR,2018,7.6,"624,815"
tt4154664,11, Captain Marvel,2h 3mPG-13,2019,6.8,"597,379"
tt1727824,12, Bohemian Rhapsody,2h 14mPG-13,2018,7.9,"574,079"
tt6723592,13, Tenet,2h 30mPG-13,2020,7.3,"568,337"
tt6644200,14, A Quiet Place,1h 30mPG-13,2018,7.5,"567,953"
tt6966692,15, Green Book,2h 10mPG-13,2018,8.2,"542,702"
tt6320628,16, Spider-Man: Far from Home,2h 9mPG-13,2019,7.4,"537,741"
tt1270797,17, Venom,1h 52mPG-13,2018,6.6,"523,643"
tt1477834,18, Aquaman,2h 23mPG-13,2018,6.8,"505,411"
tt2527338,19, Star Wars: Episode IX - The Rise of Skywalker,2h 21mPG-13,2019,6.4,"480,882"
tt1677720,20, Ready Player One,2h 20mPG-13,2018,7.4,"468,943"
tt1950186,21, Ford v Ferrari,2h 32mPG-13,2019,8.1,"444,406"
tt5095030,22, Ant-Man and the Wasp,1h 58mPG-13,2018,7.0,"438,666"
tt2584384,23, Jojo Rabbit,1h 48mPG-13,2019,7.9,"426,395"
tt1302006,24, The Irishman,3h 29mR,2019,7.8,"418,772"
tt6146586,25, John Wick: Chapter 3 - Parabellum,2h 10mR,2019,7.4,"411,173"
tt1517451,26, A Star Is Born,2h 16mR,2018,7.6,"408,433"
tt8772262,27, Midsommar,2h 28mR,2019,7.1,"378,718"
tt0448115,28, Shazam!,2h 12mPG-13,2019,7.0,"375,801"
tt8367814,29, The Gentlemen,1h 53mR,2019,7.8,"375,607"
tt2737304,30, Bird Box,2h 4mR,2018,6.6,"375,423"
tt3778644,31, Solo: A Star Wars Story,2h 15mPG-13,2018,6.9,"370,847"
tt4912910,32, Mission: Impossible - Fallout,2h 27mPG-13,2018,7.7,"368,539"
tt2948372,33, Soul,1h 40mPG,2020,8.0,"362,437"
tt7784604,34, Hereditary,2h 7mR,2018,7.3,"361,849"
tt2798920,35, Annihilation,1h 55mR,2018,6.8,"351,797"
tt4881806,36, Jurassic World: Fallen Kingdom,2h 8mPG-13,2018,6.1,"336,377"
tt7653254,37, Marriage Story,2h 17mR,2019,7.9,"335,814"
tt6857112,38, Us,1h 56mR,2019,6.8,"330,835"
tt3606756,39, Incredibles 2,1h 58mPG,2018,7.6,"321,021"
tt5727208,40, Uncut Gems,2h 15mR,2019,7.4,"307,604"
tt4123430,41, Fantastic Beasts: The Crimes of Grindelwald,2h 14mPG-13,2018,6.5,"301,523"
tt7349950,42, It Chapter Two,2h 49mR,2019,6.5,"292,974"
tt0437086,43, Alita: Battle Angel,2h 2mPG-13,2019,7.3,"286,837"
tt7126948,44, Wonder Woman 1984,2h 31mPG-13,2020,5.4,"286,182"
tt6139732,45, Aladdin,2h 8mPG,2019,6.9,"284,021"
tt7349662,46, BlacKkKlansman,2h 15mR,2018,7.5,"283,407"
tt9243946,47, El Camino: A Breaking Bad Movie,2h 2mTV-MA,2019,7.3,"281,195"
tt7975244,48, Jumanji: The Next Level,2h 3mPG-13,2019,6.7,"273,028"
tt1979376,49, Toy Story 4,1h 40mG,2019,7.7,"271,780"
tt8332922,50, A Quiet Place Part II,1h 37mPG-13,2020,7.2,"262,410"
tt6105098,51, The Lion King,1h 58mPG,2019,6.8,"261,359"
tt6823368,52, Glass,2h 9mPG-13,2019,6.6,"260,948"
tt8228288,53, The Platform,1h 34mTV-MA,2019,7.0,"259,815"
tt7713068,54, Birds of Prey,1h 49mR,2020,6.1,"258,344"
tt2935510,55, Ad Astra,2h 3mPG-13,2019,6.5,"254,595"
tt8936646,56, Extraction,1h 56mR,2020,6.8,"254,119"
tt2704998,57, Game Night,1h 40mR,2018,6.9,"250,596"
tt1051906,58, The Invisible Man,2h 4mR,2020,7.1,"247,395"
tt7984734,59, The Lighthouse,1h 49mR,2019,7.4,"243,403"
tt5164214,60, Ocean's Eight,1h 50mPG-13,2018,6.3,"236,258"
tt3281548,61, Little Women,2h 15mPG,2019,7.8,"232,103"
tt6806448,62, Fast & Furious Presents: Hobbs & Shaw,2h 17mPG-13,2019,6.5,"230,128"
tt1365519,63, Tomb Raider,1h 59mPG-13,2018,6.3,"223,462"
